Fish code,Species,Site,Date,Weight (g),Fork length (cm)
Sh01,Steelhead,RK14,4/4/93,12.1,10.4
SH02,Steelhead,RW04,6/12/93,11.3,10.8
SH03,Steelhesd,RW04,6/12/93,9.5,10.2
SH04,Steelhead,RT19,6/17/93,2.9,7.5
SH05,Steelhead,RT19,6/17/93,2.4,6.6
SH06,Steelhead,RK09,6/27/93,17,11.8
SH07,Steelhead,RT02R,11/9/93,2,5.6
SH09,Steelhead,RK14,11/6/93,1.1,5.6
ST01,Three spine stickleback,RT02,11/18/92,0.9,4.9
ST02,Three spine stickleback,RT02,11/18/92,1.5,5.8
ST03,Three spine stickleback,RT02,11/18/92,0.8,4.5
ST04,Three spine stickleback,RK04,11/2/92,2.7,6.3
ST05,Three spine stickleback,RT12,7/1/92,2.2,6.2
ST06,Three spine stickleback,RT02,6/18/92,1.7,5.6
ST07,Three spine stickleback,RT02,6/18/92,1.2,5.6
ST08,Three spine stickleback,RT02,6/18/92,1.4,6.2
ST09,Three spine stickleback,RT02,6/18/92,1.2,5.5
ST10,Three spine stickleback,RT02,6/18/92,1.5,6
ST11,Three spine stickleback,RT02,6/18/92,1,5.1
ST12,Three spine stickleback,RT02,6/18/92,1.6,6.1
ST13,Three spine stickleback,RT02,6/18/92,0.9,4.8
ST14,Three spine stickleback,BP02,3/30/93,1.2,5.5
ST15,Three spine stickleback,BP02,3/30/93,1.4,5.4
ST16,Three spine stickleback,BP01BP,5/15/93,1,5.5
ST17,Three spine stickleback,BP01BP,5/15/93,1.1,5
ST18,Three spine stickleback,RT03,5/21/93,1,5.1
ST19,Three spine stickleback,RT02BP,5/18/93,1.2,5.1
ST20,Three spine stickleback,RT02BP,5/18/93,2.4,6.2
ST21,Three spine stickleback,RT02R,5/16/93,2.3,6.6
ST22,Three spine stickleback,RT02R,5/16/93,1.5,5.6
ST23,Three spine stickleback,RT02-BP,11/7/93,1,4.8
ST24,Three spine stickleback,RT02-BP,11/7/93,1.9,4.8
ST25,Three spine stickleback,RT02,4/5/93,0.7,4.9
ST26,Three spine stickleback,RT02-BP,4/20/93,0.5,3.9
ST27,Three spine stickleback,RT02-BP,4/20/93,0.4,3.6
ST28,Three spine stickleback,RT02,4/19/93,1.4,5.4
ST29,Three spine stickleback,RT02,4/19/93,1,5.1
ST30,Three spine stickleback,BP02-R,4/19/93,0.3,3.2
ST31,Three spine stickleback,BP04,10/23/93,1.4,5.4
ST32,Three spine stickleback,BP04,10/23/93,0.8,4.4
ST33,Three spine stickleback,RK09,10/22/93,0.9,4.6
ST34,Three spine stickleback,RK09,10/25/93,1.8,5.4
