"","Fish.code","Species","Site","Date","Weight..g.","Fork.length..cm.","del13C","Std..error","del15N","Std..error.1"
"248","D50","Dolly varden","RK09","7/8/93",52.7,16.9,-18.81,0.08,13.25,0.04
"249","D51","Dolly varden","RK09","6/29/93",3.5,6.9,-25.68,0.13,10.39,0.04
"250","D52","Dolly varden","RK09","6/29/93",4.7,7.9,-31.14,0.15,9.13,0.04
"251","D53","Dolly varden","RK07","5/19/93",4.7,9.1,-26.14,0.09,9.64,0.1
"252","D54","Dolly varden","RK07","5/19/93",1.8,7.5,-22.8,0.02,13.71,0.02
"253","D55","Dolly varden","RP02","5/27/93",0.8,5.4,-26.58,0.02,11.39,0.16
"254","D56","Dolly varden","RP02","5/25/93",6.1,8.8,-24.27,0.04,10.8,0.05
"255","D57","Dolly varden","RP02","5/25/93",4.1,8.2,-21.97,0.07,13.51,0.04
"256","D58","Dolly varden","RK03","7/6/93",30.3,15.2,-18.55,0.04,12.65,0.09
"257","D59","Dolly varden","RT03","5/19/93",9.3,11.1,-25.24,0.08,12.69,0.06
"258","D60","Dolly varden","RP06BP","5/27/93",9.3,9.7,-22.67,0.17,13.56,0.03
"259","D61","Dolly varden","RP06BP","5/27/93",2.9,7.2,-25.87,0.04,10.54,0.03
"260","D62","Dolly varden","RP06BP","5/27/93",3.1,7.3,-25.33,0.04,12.01,0.05
"261","D63","Dolly varden","BP01BP","5/15/93",12.2,11.3,-26.35,0.05,10.63,0.1
"262","D64","Dolly varden","BP01BP","5/15/93",9.9,11.2,-25.96,0.01,11.52,0.16
"263","D65","Dolly varden","BP01BP","5/15/93",8,10.3,-25.64,0,10.64,0.12
"264","D66","Dolly varden","BP01BP","5/15/93",3.6,8,-26.18,0.01,9.91,0.02
"265","D67","Dolly varden","RT03","5/20/93",12.1,11.6,-28.12,0.05,11.32,0.06
"266","D68","Dolly varden","RP06BP","5/28/93",6.7,8.9,-23.18,0.03,13.18,0.13
"267","D69","Dolly varden","RT02R","5/16/93",18.9,13.8,-21.85,0.07,14.13,0.05
"268","D70","Dolly varden","RT02R","5/16/93",12.7,12.2,-23.1,0.13,12.24,0.07
"269","D71","Dolly varden","RP06BP","11/12/93",7.6,9.3,-25.16,0.04,10.87,0.11
"270","D72","Dolly varden","RP06BP","11/12/93",1,4.4,-28.02,0.03,8.52,0.05
"271","D73","Dolly varden","RP06BP","11/12/93",1.2,5.1,-26.72,0.01,9.16,0.01
"272","D74","Dolly varden","RP06BP","11/12/93",9.3,9.9,-23.62,0.06,11.81,0.04
"273","D75","Dolly varden","RP06R","11/14/93",9.3,9.5,-24.5,0.03,12.41,0.09
"274","D76","Dolly varden","RP06R","11/14/93",13,10.3,-24.45,0.02,11.31,0.02
"275","D77","Dolly varden","RK14","11/6/93",1.2,5.2,-28.84,0.05,11.26,0
"276","D79","Dolly varden","RK14","11/6/93",31.9,14.6,-22.84,0.11,13.73,0.15
