gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_014235|UBL4A,2093,1817,2849,1469,1589,1103,2219,1981,2219,1455,1799,1762
NM_001024666|SH3KBP1,538,4333,7331,5970,5306,2831,1949,6453,1949,5345,2011,1679
NM_003916|AP1S2,3363,4087,3754,1374,2539,1742,2825,3227,2825,3123,2980,2584
NM_004006|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_004429|EFNB1,77,16,148,68,78,26,98,69,98,43,111,62
NR_039927|MIR4770,0,0,0,0,0,0,0,0,0,0,0,0
NM_007003|PAGE4,0,0,0,0,0,0,0,0,0,0,0,0
NM_002367|MAGEB4,3,2,0,2,2,0,2,0,2,0,0,0
NM_014271|IL1RAPL1,0,0,0,0,0,0,2,0,2,0,0,0
NM_021785|RAI2,0,0,0,0,0,0,0,0,0,0,0,0
NM_000117|EMD,2442,2396,2554,3052,2787,1116,3607,2757,3607,1378,2301,2927
NR_126094|DDX3X,80,95,131,36,28,49,93,11,93,38,83,65
NM_005366|MAGEA11,0,0,0,0,0,0,17,0,17,0,0,0
NM_001127200|GAGE2E,0,0,0,0,0,0,0,0,0,0,0,0
NM_152226|PPEF1,0,0,0,0,0,0,0,0,0,0,0,0
NR_029522|MIR105-2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001099857|IKBKG,1092,728,574,819,952,403,613,850,613,549,851,505
NM_014009|FOXP3,13,7,25,10,8,13,15,5,15,0,6,6
NR_110386|LOC101927476,0,0,0,0,0,0,0,0,0,0,0,0
NM_001130847|AIFM1,0,0,0,0,327,0,0,0,0,22,1,0
NM_031206|LAS1L,2060,2413,2065,1531,1160,637,2889,1350,2889,1403,1036,1957
NM_001142525|BHLHB9,161,212,44,0,0,0,0,0,0,0,66,0
NM_001278116|L1CAM,40,69,66,5,46,0,208,20,208,52,61,0
NR_030629|MIR509-3,0,0,0,0,0,0,0,0,0,0,0,0
NM_006375|ENOX2,311,343,550,0,645,0,598,668,598,429,524,353
NM_134446|CD99L2,257,204,147,428,113,117,133,155,133,0,0,319
NM_002565|P2RY4,5,2,5,0,0,2,2,0,2,2,2,2
NM_017745|BCOR,1888,876,1041,741,776,336,633,551,633,585,1076,896
NM_001139441|BCAP31,0,21,57,220,80,113,101,258,101,0,96,541
NM_006150|PRICKLE3,601,862,1112,730,855,216,1227,635,1227,463,826,1010
NR_030380|MIR651,0,0,0,0,0,0,0,0,0,0,0,0
NM_001039705|TRO,11,150,125,129,69,16,29,467,29,4,187,8
NM_001142389|PNPLA4,45,0,293,36,41,41,101,45,101,55,23,0
NM_022567|NYX,0,0,21,3,5,0,0,0,0,3,0,5
NM_147175|HS6ST2,0,0,0,0,0,0,0,0,0,0,0,0
NM_000166|GJB1,0,0,0,0,0,0,0,0,0,0,0,0
NM_012282|KCNE5,15,11,24,23,34,21,31,29,31,8,26,11
