wormbase_ID,WT,nekl-2(fd90),nekl-3(gk506)
WBGene00000903,1245,1647,2113
WBGene00000904,288,413,459
WBGene00000905,36,23,29
WBGene00000906,54,47,36
WBGene00000907,51,71,61
WBGene00000908,1690,1916,1995
WBGene00000910,396,784,831
WBGene00000911,1813,2219,2576
WBGene00000912,1773,3737,3404
WBGene00000913,459,584,671
WBGene00000914,477,711,801
WBGene00000915,46559,32526,36960
WBGene00000917,329,355,435
WBGene00000920,461,385,316
WBGene00000923,767,567,624
WBGene00000928,20855,8735,3692
WBGene00000929,1020,1110,1075
WBGene00000930,1,7,11
WBGene00000931,3807,2387,2639
WBGene00000932,30,112,164
WBGene00000933,917,692,696
WBGene00000934,65,141,112
WBGene00000935,188,123,118
WBGene00000936,458,515,554
WBGene00000937,409,348,418
WBGene00000938,1315,1961,2252
WBGene00000939,1343,1358,1579
WBGene00000940,429,416,428
WBGene00000941,1030,767,792
WBGene00000942,6486,9226,11300
WBGene00000950,77,186,225
WBGene00000951,88,161,141
WBGene00000952,18,27,32
WBGene00000953,27,25,31
WBGene00000955,91,147,147
WBGene00000958,532,709,752
WBGene00000959,1391,1063,1212
WBGene00000960,44,62,49
WBGene00000961,1302,1845,2082
WBGene00000962,6887,8520,8561
WBGene00000963,566,579,843
WBGene00000964,434,594,691
WBGene00000965,362,464,562
WBGene00000966,154,428,375
WBGene00000967,908,830,898
WBGene00000968,109,331,282
WBGene00000969,1213,1104,1196
WBGene00000970,1253,1645,1975
WBGene00000971,44,84,120
WBGene00000972,74,65,69
WBGene00000973,944,1955,2611
WBGene00000974,26,29,19
WBGene00000975,357,497,546
WBGene00000976,1118,1348,1269
WBGene00000977,257,261,314
WBGene00000978,77,112,143
WBGene00000979,293,66,24
WBGene00000980,86,157,202
WBGene00000981,431,662,764
WBGene00000982,336,987,1073
WBGene00000983,130,257,310
WBGene00000984,325,517,531
WBGene00000985,1102,1304,1741
WBGene00000986,14,130,163
WBGene00000987,851,712,826
WBGene00000988,1457,591,543
WBGene00000989,15,6,7
WBGene00000990,729,1345,1018
WBGene00000991,3853,4314,4554
WBGene00000992,951,1299,1346
WBGene00000993,329,439,556
WBGene00000994,240,278,368
WBGene00000995,693,678,648
WBGene00000996,1329,1506,1832
WBGene00000998,3683,5208,5081
WBGene00001000,8426,9535,11618
WBGene00001001,771,642,612
WBGene00001002,734,609,511
WBGene00001005,3887,3482,3928
WBGene00001006,3241,7304,9501
WBGene00001007,1367,1685,1903
WBGene00001008,2893,4957,5445
WBGene00001016,331,354,319
WBGene00001017,2101,2465,2926
WBGene00001018,640,729,853
WBGene00001019,821,1040,1135
WBGene00001020,893,664,634
WBGene00001021,49,50,55
WBGene00001022,138,150,179
WBGene00001023,2043,2474,2890
WBGene00001025,2401,1825,1857
WBGene00001026,1020,1177,1213
WBGene00001027,678,500,565
WBGene00001028,598,573,724
WBGene00001029,950,592,550
WBGene00001030,4691,4089,4397
WBGene00001031,4352,3953,3299
WBGene00001032,466,766,858
WBGene00001033,191,165,198
WBGene00001034,633,1026,1325
WBGene00001035,319,286,315
WBGene00001036,110,152,152
WBGene00001037,3991,3388,3895
WBGene00001038,4782,5746,6149
WBGene00001039,190,187,248
WBGene00001040,108,125,103
WBGene00001041,477,469,535
WBGene00001042,615,830,1012
WBGene00001043,709,914,1011
WBGene00001044,5,15,20
WBGene00001045,3090,3459,2890
WBGene00001046,108,59,67
WBGene00001047,5522,4136,4664
WBGene00001048,370,284,358
WBGene00001049,486,460,470
WBGene00001050,178,199,203
WBGene00001051,533,516,450
WBGene00001052,149,255,267
WBGene00001053,180,252,236
WBGene00001054,221,282,344
WBGene00001055,195,393,476
WBGene00001056,1818,2059,2193
WBGene00001057,999,1094,1303
WBGene00001058,1953,3321,4080
WBGene00001059,1741,173,149
WBGene00001060,392,434,419
WBGene00001061,366,384,407
WBGene00001062,0,0,1
WBGene00001063,771,34,38
WBGene00001064,13315,1031,346
WBGene00001065,12756,866,207
WBGene00001066,25446,643,682
WBGene00001067,16999,422,534
WBGene00001068,1562,4539,3506
WBGene00001069,13143,1704,444
WBGene00001070,17206,967,232
WBGene00001071,10340,1569,473
WBGene00001072,8970,1366,719
WBGene00001073,8701,6872,5514
WBGene00001074,23963,643,664
WBGene00001075,7,19,18
WBGene00001076,527,17,14
WBGene00001077,6186,4045,3049
WBGene00001078,337,457,562
WBGene00001079,611,71,46
WBGene00001080,2599,3100,2936
WBGene00001081,1532,2268,2474
WBGene00001082,1562,1679,2091
WBGene00001085,1214,1173,1206
WBGene00001086,2140,2102,2243
WBGene00001087,1008,1351,2090
WBGene00001088,1406,1317,1431
WBGene00001089,4362,2620,2143
WBGene00001090,453,464,521
WBGene00001091,1982,4494,4920
WBGene00001092,208,175,154
WBGene00001093,1299,1351,1516
WBGene00001094,4784,3923,4641
WBGene00001095,229,220,293
WBGene00001096,3,17,24
WBGene00001099,3399,2888,3316
WBGene00001101,914,1352,1423
WBGene00001102,246,410,429
WBGene00001103,2,0,0
WBGene00001104,1,0,0
WBGene00001105,1,4,3
WBGene00001106,0,1,1
WBGene00001107,16,140,112
WBGene00001108,2,0,4
WBGene00001109,11,28,61
WBGene00001110,85,140,138
WBGene00001111,2,3,1
WBGene00001112,377,457,512
WBGene00001113,3580,3060,2768
WBGene00001115,303,392,338
WBGene00001116,606,629,660
WBGene00001117,55,92,73
WBGene00001118,136,247,210
WBGene00001119,38,103,57
WBGene00001121,48,39,46
WBGene00001122,84,151,141
WBGene00001123,24,27,39
WBGene00001127,31,30,69
WBGene00001129,19,38,32
WBGene00001130,2124,3653,4213
WBGene00001131,3888,4928,4987
WBGene00001132,1747,2145,2486
WBGene00001133,16,49,25
WBGene00001134,1405,1370,1488
WBGene00001135,354,352,424
WBGene00001136,15,27,12
WBGene00001137,23742,33369,36097
WBGene00001145,971,1259,1297
WBGene00001147,1,2,10
WBGene00001148,2123,729,866
WBGene00001149,4031,4432,4901
